fund_name,bootstrap_mean_weight,bootstrap_std_weight,bootstrap_min_weight,bootstrap_max_weight
LionGlobal SGD Money Market A Acc SGD,0.018047163623090782,0.09511898617751702,0.0,0.7691689175899089
United SGD Fund B Acc SGD,0.019110031416644892,0.10347133001737338,0.0,0.8076425351353498
United High Grade Corporate Bond A Acc SGD,1.5633026621534916e-17,2.7036857175466965e-17,0.0,1.467019338148344e-16
AB FCP I Global High Yield A2 SGD-H,1.6304210649758875e-17,2.7017938569490913e-17,0.0,1.7226078609093785e-16
Amova Singapore Equity SGD (formerly Nikko AM),0.2758991127709429,0.34312103034022606,0.0,1.0
Infinity US 500 Stock Index SGD,0.4019467651575341,0.36655775483991687,0.0,1.0
Fidelity World A-ACC-SGD,0.029839744345343398,0.12124634315483315,0.0,0.8029350905781788
Schroder ISF Asian Opportunities A Acc SGD,0.0922242448168095,0.19812462155663635,0.0,1.0
First Sentier Global Property Securities A Acc SGD,1.3812157086265695e-17,2.0876416789330936e-17,0.0,1.3763967259636147e-16
Blackrock World Gold Fund A2 SGD-H,0.1629329378696346,0.19653321739021803,0.0,0.9999999999999998
