fund_name,short_label,expected_return,volatility
LionGlobal SGD Money Market A Acc SGD,Cash,0.017261490290853276,0.0030522941106001433
United SGD Fund B Acc SGD,Short Bond,0.023675881360548656,0.01358463401324715
United High Grade Corporate Bond A Acc SGD,IG Bond,0.019013037867167803,0.04966309457414615
AB FCP I Global High Yield A2 SGD-H,HY Bond,0.03240797237740871,0.09053196713056144
Amova Singapore Equity SGD (formerly Nikko AM),SG Equity,0.11398878566461541,0.13219879595888523
Infinity US 500 Stock Index SGD,US Equity,0.12755499218716207,0.14253571228899234
Fidelity World A-ACC-SGD,World Equity,0.10484057594405674,0.13815069220866422
Schroder ISF Asian Opportunities A Acc SGD,Asia ex-JP,0.09365318792186086,0.15140532868628945
First Sentier Global Property Securities A Acc SGD,REIT,0.020061781168685434,0.1359185150459878
Blackrock World Gold Fund A2 SGD-H,Gold,0.1551181927517964,0.33297088440634537
