period,portfolio_name,expected_return,volatility,utility,gross_exposure
2021-2023,Equal Weight Benchmark,0.04976828153789864,0.09231860070362465,0.03414328747212728,1.0
2021-2023,GMVP no_short,0.0143339085489644,0.002569041778152748,0.014321808593591593,1.0
2021-2023,GMVP bounded_short,0.0148103894840933,0.01774402541629887,0.01423316368114049,1.2317529392439837
2021-2023,Optimal Portfolio no_short,0.09752419543810095,0.13924440082726364,0.06197768964157092,1.0000000000000007
2021-2023,Resampled Portfolio no_short,0.0835491782925397,0.1314893951723386,0.051851833047429435,1.0
2021-2023,Optimal Portfolio bounded_short,0.09847643944202443,0.14579506537747086,0.05950673744658593,1.399999991515492
2024-2025,Equal Weight Benchmark,0.14227671404332498,0.06199694399557347,0.13523007542454282,1.0
2024-2025,GMVP no_short,0.02759630546282493,0.0026479743901582516,0.027583450554144885,1.0
2024-2025,GMVP bounded_short,0.029772452683927583,0.01402403192667726,0.02941188465288007,1.2317529392439837
2024-2025,Optimal Portfolio no_short,0.23395061752005208,0.08565510546550911,0.2204998228508217,1.0000000000000007
2024-2025,Resampled Portfolio no_short,0.24650814930726425,0.08366048596710077,0.2336765083014699,1.0
2024-2025,Optimal Portfolio bounded_short,0.2951083343825547,0.086136528091652,0.28150591501780076,1.399999991515492
