fund_name,rolling_mean_weight,rolling_std_weight,rolling_min_weight,rolling_max_weight
LionGlobal SGD Money Market A Acc SGD,0.026930650131194795,0.09359549350617152,0.0,0.5263563536428536
United SGD Fund B Acc SGD,2.3453780775403858e-17,5.77027477330705e-17,0.0,4.441481778348652e-16
United High Grade Corporate Bond A Acc SGD,0.06195905430783991,0.1674468526619456,0.0,0.9999999999999996
AB FCP I Global High Yield A2 SGD-H,8.635472029992179e-18,1.382879476713669e-17,0.0,5.816387029843203e-17
Amova Singapore Equity SGD (formerly Nikko AM),0.22196277948981108,0.3178651280460545,0.0,1.0
Infinity US 500 Stock Index SGD,0.5206430247300741,0.354121838524151,0.0,1.0
Fidelity World A-ACC-SGD,9.590848418084197e-18,1.986878630441555e-17,0.0,1.1188966420050406e-16
Schroder ISF Asian Opportunities A Acc SGD,0.056300662599347406,0.1844875745505877,0.0,0.9999999999999998
First Sentier Global Property Securities A Acc SGD,9.201369194562516e-18,1.435314995304889e-17,0.0,8.301584733654506e-17
Blackrock World Gold Fund A2 SGD-H,0.11220382874173286,0.18700521312988436,0.0,0.7931866767187864
